Date,Total,East,West
2022-01-01,33.0,23.0,10.0
2022-01-02,37.0,20.0,17.0
2022-01-03,253.0,93.0,160.0
2022-01-04,577.0,220.0,357.0
2022-01-05,713.0,261.0,452.0
2022-01-06,588.0,231.0,357.0
2022-01-07,650.0,250.0,400.0
2022-01-08,1147.0,548.0,599.0
2022-01-09,1923.0,912.0,1011.0
2022-01-10,875.0,345.0,530.0
2022-01-11,810.0,289.0,521.0
2022-01-12,1140.0,445.0,695.0
2022-01-13,1372.0,548.0,824.0
2022-01-14,1500.0,595.0,905.0
2022-01-15,1313.0,591.0,722.0
2022-01-16,1055.0,501.0,554.0
2022-01-17,1277.0,583.0,694.0
2022-01-18,1255.0,459.0,796.0
2022-01-19,1380.0,562.0,818.0
2022-01-20,1113.0,433.0,680.0
2022-01-21,1605.0,637.0,968.0
2022-01-22,1721.0,807.0,914.0
2022-01-23,1132.0,543.0,589.0
2022-01-24,1293.0,501.0,792.0
2022-01-25,1486.0,573.0,913.0
2022-01-26,1479.0,599.0,880.0
2022-01-27,1579.0,650.0,929.0
2022-01-28,1530.0,633.0,897.0
2022-01-29,1449.0,638.0,811.0
2022-01-30,507.0,227.0,280.0
2022-01-31,1524.0,602.0,922.0
2022-02-01,1515.0,581.0,934.0
2022-02-02,1218.0,453.0,765.0
2022-02-03,1209.0,464.0,745.0
2022-02-04,1213.0,495.0,718.0
2022-02-05,1421.0,627.0,794.0
2022-02-06,1788.0,823.0,965.0
2022-02-07,1463.0,570.0,893.0
2022-02-08,1739.0,711.0,1028.0
2022-02-09,1888.0,745.0,1143.0
2022-02-10,1572.0,612.0,960.0
2022-02-11,1731.0,698.0,1033.0
2022-02-12,2339.0,995.0,1344.0
2022-02-13,1591.0,739.0,852.0
2022-02-14,1167.0,482.0,685.0
2022-02-15,1783.0,707.0,1076.0
2022-02-16,1961.0,775.0,1186.0
2022-02-17,1726.0,704.0,1022.0
2022-02-18,1700.0,724.0,976.0
2022-02-19,1060.0,463.0,597.0
2022-02-20,979.0,463.0,516.0
2022-02-21,928.0,381.0,547.0
2022-02-22,713.0,253.0,460.0
2022-02-23,1110.0,446.0,664.0
2022-02-24,1163.0,451.0,712.0
2022-02-25,1576.0,654.0,922.0
2022-02-26,919.0,428.0,491.0
2022-02-27,493.0,217.0,276.0
2022-02-28,611.0,239.0,372.0
2022-03-01,1748.0,717.0,1031.0
2022-03-02,1426.0,542.0,884.0
2022-03-03,1740.0,708.0,1032.0
2022-03-04,1659.0,648.0,1011.0
2022-03-05,1935.0,877.0,1058.0
2022-03-06,1761.0,826.0,935.0
2022-03-07,1848.0,702.0,1146.0
2022-03-08,1522.0,577.0,945.0
2022-03-09,2318.0,983.0,1335.0
2022-03-10,1936.0,778.0,1158.0
2022-03-11,1782.0,699.0,1083.0
2022-03-12,1547.0,687.0,860.0
2022-03-13,1295.0,592.0,703.0
2022-03-14,1119.0,413.0,706.0
2022-03-15,1798.0,669.0,1129.0
2022-03-16,2310.0,924.0,1386.0
2022-03-17,1636.0,568.0,1068.0
2022-03-18,1842.0,758.0,1084.0
2022-03-19,710.0,308.0,402.0
2022-03-20,968.0,436.0,532.0
2022-03-21,1027.0,393.0,634.0
2022-03-22,2867.0,1095.0,1772.0
2022-03-23,1582.0,578.0,1004.0
2022-03-24,2449.0,951.0,1498.0
2022-03-25,2179.0,861.0,1318.0
2022-03-26,1586.0,702.0,884.0
2022-03-27,2369.0,1059.0,1310.0
2022-03-28,2010.0,766.0,1244.0
2022-03-29,2856.0,1177.0,1679.0
2022-03-30,1888.0,707.0,1181.0
2022-03-31,2662.0,1023.0,1639.0
2022-04-01,2260.0,913.0,1347.0
2022-04-02,2372.0,1022.0,1350.0
2022-04-03,779.0,350.0,429.0
2022-04-04,1384.0,540.0,844.0
2022-04-05,2557.0,998.0,1559.0
2022-04-06,2993.0,1121.0,1872.0
2022-04-07,4196.0,1733.0,2463.0
2022-04-08,1702.0,647.0,1055.0
2022-04-09,1354.0,598.0,756.0
